Boreas.rx,Boreas.ry,Boreas.rz,tmacFRS.rx,tmacFRS.ry,tmacFRS.rz
20.559,-1.121,-46.96,-17.834,-10.495,-16.537
9.515,-11.24,-48.375,-3.078,-14.38,-13.131
-2.117,-20.692,-51.748,11.837,-17.217,-8.904
10.969,9.782,-50.134,-14.239,3.553,-12.416
-0.337,0.084,-49.369,0.244,0.224,-12.69
-11.528,-9.426,-50.298,14.536,-2.996,-12.342
1.558,21.081,-51.55,-11.591,17.8,-8.978
-10.233,11.405,-48.372,3.61,14.845,-13.14
-21.2,1.36,-47.198,18.28,10.974,-16.392
19.666,-6.292,-61.009,-14.617,-14.701,-1.846
6.233,-13.322,-63.484,0.868,-14.661,2.266
-7.647,-19.439,-67.725,15.93,-13.597,6.255
13.106,6.64,-64.752,-14.669,-0.206,1.905
-0.44,0.117,-64.043,0.328,0.307,1.98
-13.984,-6.375,-64.881,15.312,0.83,1.916
7.106,19.879,-67.331,-15.696,14.224,5.994
-7.044,13.568,-63.418,-0.286,15.253,2.228
-20.144,6.697,-61.242,14.854,15.268,-1.645
17.628,-11.049,-75.065,-10.454,-17.976,13.073
2.776,-14.398,-78.399,4.444,-13.978,17.235
-12.381,-16.772,-82.641,18.705,-9.122,20.244
14.4,3.077,-79.238,-14.185,-3.952,16.297
-0.25,0.281,-78.797,0.091,0.371,16.732
-14.669,-2.485,-79.158,14.154,4.609,16.188
12.125,17.394,-82.755,-18.774,9.801,20.459
-3.262,14.944,-78.454,-4.289,14.696,17.366
-17.904,11.599,-75.005,10.438,18.594,13.049
0.101,0.093,-62.36,-0.138,0.031,0.299
0.097,0.106,-62.354,-0.14,0.043,0.292
0.094,0.087,-53.238,-0.135,0.025,-8.822
15.211,11.236,-54.725,-18.616,2.938,-8.347
28.933,-8.199,-55.05,-22.348,-20.531,-8.972
-26.095,47.493,-32.801,-7.818,52.22,-13.79
15.456,10.917,-60.232,-18.683,2.545,-2.887
7.022,5.905,-58.999,-8.966,1.932,-3.268
